username,repo_name,stars,repo_url
ccxt,ccxt,22800,https://github.com/ccxt/ccxt
python-telegram-bot,python-telegram-bot,17400,https://github.com/python-telegram-bot/python-telegram-bot
discordjs,discord.js,16900,https://github.com/discordjs/discord.js
hubotio,hubot,16100,https://github.com/hubotio/hubot
InstaPy,InstaPy,13700,https://github.com/InstaPy/InstaPy
RasaHQ,rasa,13300,https://github.com/RasaHQ/rasa
gunthercox,ChatterBot,11900,https://github.com/gunthercox/ChatterBot
wechaty,wechaty,11800,https://github.com/wechaty/wechaty
howdyai,botkit,10600,https://github.com/howdyai/botkit
botpress,botpress,9500,https://github.com/botpress/botpress
sfyc23,EverydayWechat,8700,https://github.com/sfyc23/EverydayWechat
tgbot-collection,YYeTsBot,8500,https://github.com/tgbot-collection/YYeTsBot
leon-ai,leon,8200,https://github.com/leon-ai/leon
microsoft,ailab,6900,https://github.com/microsoft/ailab
EZFNDEV,EZFN-Lobbybot,6900,https://github.com/EZFNDEV/EZFN-Lobbybot
microsoft,botframework-sdk,6700,https://github.com/microsoft/botframework-sdk
maxbbraun,trump2cash,6100,https://github.com/maxbbraun/trump2cash
yagop,node-telegram-bot-api,5800,https://github.com/yagop/node-telegram-bot-api
botman,botman,5600,https://github.com/botman/botman
deepmipt,DeepPavlov,5500,https://github.com/deepmipt/DeepPavlov
telegraf,telegraf,5200,https://github.com/telegraf/telegraf
axa-group,nlp.js,4700,https://github.com/axa-group/nlp.js
jef,streetmerchant,4700,https://github.com/jef/streetmerchant
pedroslopez,whatsapp-web.js,4200,https://github.com/pedroslopez/whatsapp-web.js
ohld,igbot,4100,https://github.com/ohld/igbot
Yoctol,bottender,3800,https://github.com/Yoctol/bottender
PokemonGoF,PokemonGo-Bot,3700,https://github.com/PokemonGoF/PokemonGo-Bot
Mrs4s,go-cqhttp,3600,https://github.com/Mrs4s/go-cqhttp
snipsco,snips-nlu,3600,https://github.com/snipsco/snips-nlu
chrisleekr,binance-trading-bot,3500,https://github.com/chrisleekr/binance-trading-bot
