username,repo_name,stars,repo_url
gatsbyjs,gatsby,52300,https://github.com/gatsbyjs/gatsby
strapi,strapi,42800,https://github.com/strapi/strapi
prettier,prettier,41700,https://github.com/prettier/prettier
hoppscotch,hoppscotch,36100,https://github.com/hoppscotch/hoppscotch
hasura,graphql-engine,25300,https://github.com/hasura/graphql-engine
tannerlinsley,react-query,25100,https://github.com/tannerlinsley/react-query
kriasoft,react-starter-kit,21100,https://github.com/kriasoft/react-starter-kit
Kong,insomnia,19400,https://github.com/Kong/insomnia
parse-community,parse-server,19200,https://github.com/parse-community/parse-server
marmelab,react-admin,18800,https://github.com/marmelab/react-admin
graphql,graphql-js,18400,https://github.com/graphql/graphql-js
dgraph-io,dgraph,17400,https://github.com/dgraph-io/dgraph
apollographql,apollo-client,17200,https://github.com/apollographql/apollo-client
pubkey,rxdb,16900,https://github.com/pubkey/rxdb
prisma,prisma1,16800,https://github.com/prisma/prisma1
saleor,saleor,15000,https://github.com/saleor/saleor
directus,directus,13700,https://github.com/directus/directus
graphql,graphiql,13200,https://github.com/graphql/graphiql
chentsulin,awesome-graphql,13100,https://github.com/chentsulin/awesome-graphql
apollographql,apollo-server,12300,https://github.com/apollographql/apollo-server
spree,spree,11600,https://github.com/spree/spree
reactioncommerce,reaction,11600,https://github.com/reactioncommerce/reaction
graphql,dataloader,11100,https://github.com/graphql/dataloader
graphile,postgraphile,11000,https://github.com/graphile/postgraphile
redwoodjs,redwood,10800,https://github.com/redwoodjs/redwood
withspectrum,spectrum,10300,https://github.com/withspectrum/spectrum
apex,up,8500,https://github.com/apex/up
graphql-go,graphql,8300,https://github.com/graphql-go/graphql
dotansimha,graphql-code-generator,8200,https://github.com/dotansimha/graphql-code-generator
gridsome,gridsome,8100,https://github.com/gridsome/gridsome
