username,repo_name,stars,repo_url
ethereum,go-ethereum,35100,https://github.com/ethereum/go-ethereum
ccxt,ccxt,23100,https://github.com/ccxt/ccxt
OpenZeppelin,openzeppelin-contracts,15500,https://github.com/OpenZeppelin/openzeppelin-contracts
ethereum,solidity,14500,https://github.com/ethereum/solidity
ChainSafe,web3.js,13400,https://github.com/ChainSafe/web3.js
ethereumbook,ethereumbook,12700,https://github.com/ethereumbook/ethereumbook
trufflesuite,truffle,12400,https://github.com/trufflesuite/truffle
ethereum,mist,7400,https://github.com/ethereum/mist
MetaMask,metamask-extension,7000,https://github.com/MetaMask/metamask-extension
openethereum,parity-ethereum,6500,https://github.com/openethereum/parity-ethereum
yeasy,blockchain_guide,5900,https://github.com/yeasy/blockchain_guide
smartcontractkit,full-blockchain-solidity-course-py,5700,https://github.com/smartcontractkit/full-blockchain-solidity-course-py
capstone-engine,capstone,5400,https://github.com/capstone-engine/capstone
scaffold-eth,scaffold-eth,5400,https://github.com/scaffold-eth/scaffold-eth
ConsenSys,smart-contract-best-practices,5000,https://github.com/ConsenSys/smart-contract-best-practices
ConsenSys,quorum,4100,https://github.com/ConsenSys/quorum
ethers-io,ethers.js,4000,https://github.com/ethers-io/ethers.js
trufflesuite,ganache-ui,3900,https://github.com/trufflesuite/ganache-ui
ethereum,aleth,3900,https://github.com/ethereum/aleth
CryptoSignal,Crypto-Signal,3800,https://github.com/CryptoSignal/Crypto-Signal
web3j,web3j,3700,https://github.com/web3j/web3j
coinpride,CryptoList,3600,https://github.com/coinpride/CryptoList
Scanate,EthList,3600,https://github.com/Scanate/EthList
vyperlang,vyper,3600,https://github.com/vyperlang/vyper
embarklabs,embark,3500,https://github.com/embarklabs/embark
Zheaoli,awesome-coins,3500,https://github.com/Zheaoli/awesome-coins
bkrem,awesome-solidity,3500,https://github.com/bkrem/awesome-solidity
OffcierCia,DeFi-Developer-Road-Map,3400,https://github.com/OffcierCia/DeFi-Developer-Road-Map
status-im,status-react,3300,https://github.com/status-im/status-react
openblockchains,awesome-blockchains,3300,https://github.com/openblockchains/awesome-blockchains
