username,repo_name,stars,repo_url
httpie,httpie,53600,https://github.com/httpie/httpie
psf,requests,46800,https://github.com/psf/requests
caddyserver,caddy,36700,https://github.com/caddyserver/caddy
mitmproxy,mitmproxy,25800,https://github.com/mitmproxy/mitmproxy
aria2,aria2,25400,https://github.com/aria2/aria2
curl,curl,23500,https://github.com/curl/curl
dromara,hutool,21800,https://github.com/dromara/hutool
vapor,vapor,21300,https://github.com/vapor/vapor
ehang-io,nps,20100,https://github.com/ehang-io/nps
tsenart,vegeta,19000,https://github.com/tsenart/vegeta
locustio,locust,18100,https://github.com/locustio/locust
go-kratos,kratos,16400,https://github.com/go-kratos/kratos
gorilla,mux,15900,https://github.com/gorilla/mux
hapijs,hapi,13700,https://github.com/hapijs/hapi
julienschmidt,httprouter,13600,https://github.com/julienschmidt/httprouter
uNetworking,uWebSockets,13500,https://github.com/uNetworking/uWebSockets
trimstray,nginx-admins-handbook,12500,https://github.com/trimstray/nginx-admins-handbook
psf,requests-html,12300,https://github.com/psf/requests-html
aio-libs,aiohttp,12100,https://github.com/aio-libs/aiohttp
snail007,goproxy,11500,https://github.com/snail007/goproxy
http-party,http-server,11500,https://github.com/http-party/http-server
nock,nock,11200,https://github.com/nock/nock
graphile,postgraphile,11000,https://github.com/graphile/postgraphile
sindresorhus,got,10900,https://github.com/sindresorhus/got
go-chi,chi,10800,https://github.com/go-chi/chi
postmanlabs,httpbin,10500,https://github.com/postmanlabs/httpbin
jeasonlzy,okhttp-OkGo,10400,https://github.com/jeasonlzy/okhttp-OkGo
asciimoo,wuzz,9900,https://github.com/asciimoo/wuzz
hyperium,hyper,9100,https://github.com/hyperium/hyper
apache,thrift,8900,https://github.com/apache/thrift
