username,repo_name,stars,repo_url
httpie,httpie,53600,https://github.com/httpie/httpie
iptv-org,iptv,45300,https://github.com/iptv-org/iptv
prettier,prettier,41700,https://github.com/prettier/prettier
tiangolo,fastapi,41200,https://github.com/tiangolo/fastapi
chinese-poetry,chinese-poetry,35100,https://github.com/chinese-poetry/chinese-poetry
SheetJS,sheetjs,28900,https://github.com/SheetJS/sheetjs
nlohmann,json,28500,https://github.com/nlohmann/json
alibaba,fastjson,24100,https://github.com/alibaba/fastjson
dromara,hutool,21800,https://github.com/dromara/hutool
SwiftyJSON,SwiftyJSON,21100,https://github.com/SwiftyJSON/SwiftyJSON
paularmstrong,normalizr,20800,https://github.com/paularmstrong/normalizr
codex-team,editor.js,18000,https://github.com/codex-team/editor.js
urfave,cli,17200,https://github.com/urfave/cli
typicode,lowdb,17100,https://github.com/typicode/lowdb
simdjson,simdjson,15300,https://github.com/simdjson/simdjson
antonmedv,fx,13000,https://github.com/antonmedv/fx
modood,Administrative-divisions-of-China,11900,https://github.com/modood/Administrative-divisions-of-China
Mantle,Mantle,11300,https://github.com/Mantle/Mantle
rjsf-team,react-jsonschema-form,11000,https://github.com/rjsf-team/react-jsonschema-form
postmanlabs,httpbin,10500,https://github.com/postmanlabs/httpbin
json-iterator,go,10400,https://github.com/json-iterator/go
baidu,amis,9800,https://github.com/baidu/amis
tidwall,gjson,9700,https://github.com/tidwall/gjson
JamesNK,Newtonsoft.Json,9100,https://github.com/JamesNK/Newtonsoft.Json
pwxcoo,chinese-xinhua,8900,https://github.com/pwxcoo/chinese-xinhua
pinojs,pino,8700,https://github.com/pinojs/pino
CoderMJLee,MJExtension,8500,https://github.com/CoderMJLee/MJExtension
httpie,http-prompt,8400,https://github.com/httpie/http-prompt
astrit,css.gg,8200,https://github.com/astrit/css.gg
jwtk,jjwt,8100,https://github.com/jwtk/jjwt
