username,repo_name,stars,repo_url
Snailclimb,JavaGuide,116000,https://github.com/Snailclimb/JavaGuide
macrozheng,mall,55700,https://github.com/macrozheng/mall
grafana,grafana,46800,https://github.com/grafana/grafana
strapi,strapi,42800,https://github.com/strapi/strapi
pingcap,tidb,30300,https://github.com/pingcap/tidb
AobingJava,JavaFamily,29100,https://github.com/AobingJava/JavaFamily
metabase,metabase,27300,https://github.com/metabase/metabase
typeorm,typeorm,27000,https://github.com/typeorm/typeorm
sequelize,sequelize,25600,https://github.com/sequelize/sequelize
hasura,graphql-engine,25300,https://github.com/hasura/graphql-engine
dbeaver,dbeaver,24300,https://github.com/dbeaver/dbeaver
hollischuang,toBeTopJavaer,22300,https://github.com/hollischuang/toBeTopJavaer
nocodb,nocodb,21800,https://github.com/nocodb/nocodb
getredash,redash,20400,https://github.com/getredash/redash
prisma,prisma,20200,https://github.com/prisma/prisma
mysqljs,mysql,16900,https://github.com/mysqljs/mysql
matomo-org,matomo,15900,https://github.com/matomo-org/matomo
knex,knex,15300,https://github.com/knex/knex
apache,shardingsphere,15200,https://github.com/apache/shardingsphere
directus,directus,13700,https://github.com/directus/directus
vitessio,vitess,13300,https://github.com/vitessio/vitess
Tencent,APIJSON,12800,https://github.com/Tencent/APIJSON
itdevbooks,pdf,12700,https://github.com/itdevbooks/pdf
baomidou,mybatis-plus,12300,https://github.com/baomidou/mybatis-plus
cube-js,cube.js,12300,https://github.com/cube-js/cube.js
go-sql-driver,mysql,11900,https://github.com/go-sql-driver/mysql
zhisheng17,flink-learning,11600,https://github.com/zhisheng17/flink-learning
macrozheng,mall-learning,10400,https://github.com/macrozheng/mall-learning
dbcli,mycli,10100,https://github.com/dbcli/mycli
dolthub,dolt,10100,https://github.com/dolthub/dolt
