username,repo_name,stars,repo_url
microsoft,vscode,127000,https://github.com/microsoft/vscode
electron,electron,100000,https://github.com/electron/electron
atom,atom,56700,https://github.com/atom/atom
GitSquared,edex-ui,34900,https://github.com/GitSquared/edex-ui
microsoft,playwright,33600,https://github.com/microsoft/playwright
agalwood,Motrix,29900,https://github.com/agalwood/Motrix
nativefier,nativefier,29700,https://github.com/nativefier/nativefier
marktext,marktext,28700,https://github.com/marktext/marktext
laurent22,joplin,27900,https://github.com/laurent22/joplin
typeorm,typeorm,27000,https://github.com/typeorm/typeorm
nylas,nylas-mail,24600,https://github.com/nylas/nylas-mail
sindresorhus,awesome-electron,22400,https://github.com/sindresorhus/awesome-electron
quasarframework,quasar,20400,https://github.com/quasarframework/quasar
railsware,upterm,19400,https://github.com/railsware/upterm
segmentio,nightmare,19100,https://github.com/segmentio/nightmare
notable,notable,19100,https://github.com/notable/notable
electron-react-boilerplate,electron-react-boilerplate,19000,https://github.com/electron-react-boilerplate/electron-react-boilerplate
BoostIO,BoostNote-Legacy,17400,https://github.com/BoostIO/BoostNote-Legacy
typicode,lowdb,17100,https://github.com/typicode/lowdb
pubkey,rxdb,16900,https://github.com/pubkey/rxdb
eclipse-theia,theia,16100,https://github.com/eclipse-theia/theia
oldj,SwitchHosts,15900,https://github.com/oldj/SwitchHosts
Molunerfinn,PicGo,15800,https://github.com/Molunerfinn/PicGo
zulip,zulip,15100,https://github.com/zulip/zulip
responsively-org,responsively-app,15100,https://github.com/responsively-org/responsively-app
wulkano,Kap,14800,https://github.com/wulkano/Kap
SimulatedGREG,electron-vue,14700,https://github.com/SimulatedGREG/electron-vue
qier222,YesPlayMusic,14400,https://github.com/qier222/YesPlayMusic
desktop,desktop,13900,https://github.com/desktop/desktop
geeeeeeeeek,electronic-wechat,13900,https://github.com/geeeeeeeeek/electronic-wechat
