username,repo_name,stars,repo_url
microsoft,playwright,33600,https://github.com/microsoft/playwright
FiloSottile,mkcert,33500,https://github.com/FiloSottile/mkcert
gorhill,uBlock,28400,https://github.com/gorhill/uBlock
ovity,octotree,21800,https://github.com/ovity/octotree
iamadamdev,bypass-paywalls-chrome,21800,https://github.com/iamadamdev/bypass-paywalls-chrome
ArchiveBox,ArchiveBox,12600,https://github.com/ArchiveBox/ArchiveBox
mozilla-mobile,firefox-ios,10700,https://github.com/mozilla-mobile/firefox-ios
crimx,ext-saladict,8600,https://github.com/crimx/ext-saladict
uBlock-LLC,uBlock,8100,https://github.com/uBlock-LLC/uBlock
Anarios,return-youtube-dislike,8000,https://github.com/Anarios/return-youtube-dislike
MetaMask,metamask-extension,7000,https://github.com/MetaMask/metamask-extension
microsoft,playwright-python,5700,https://github.com/microsoft/playwright-python
mozilla,geckodriver,5700,https://github.com/mozilla/geckodriver
mozilla-mobile,fenix,5500,https://github.com/mozilla-mobile/fenix
Kenshin,simpread,5500,https://github.com/Kenshin/simpread
arkenfox,user.js,4700,https://github.com/arkenfox/user.js
gildas-lormeau,SingleFile,4600,https://github.com/gildas-lormeau/SingleFile
firefox-devtools,debugger,4600,https://github.com/firefox-devtools/debugger
moonD4rk,HackBrowserData,4000,https://github.com/moonD4rk/HackBrowserData
ajayyy,SponsorBlock,3900,https://github.com/ajayyy/SponsorBlock
brookhong,Surfingkeys,3900,https://github.com/brookhong/Surfingkeys
melonjs,melonJS,3800,https://github.com/melonjs/melonJS
jonasstrehle,supercookie,3700,https://github.com/jonasstrehle/supercookie
web-platform-tests,wpt,3700,https://github.com/web-platform-tests/wpt
cyrus-and,chrome-remote-interface,3600,https://github.com/cyrus-and/chrome-remote-interface
lmk123,crx-selection-translate,3600,https://github.com/lmk123/crx-selection-translate
tridactyl,tridactyl,3500,https://github.com/tridactyl/tridactyl
bitwarden,browser,3400,https://github.com/bitwarden/browser
subhra74,xdm,3400,https://github.com/subhra74/xdm
iamadamdev,bypass-paywalls-firefox,3100,https://github.com/iamadamdev/bypass-paywalls-firefox
