username,repo_name,stars,repo_url
bitcoin,bitcoin,61500,https://github.com/bitcoin/bitcoin
ccxt,ccxt,23100,https://github.com/ccxt/ccxt
freqtrade,freqtrade,15600,https://github.com/freqtrade/freqtrade
GamestonkTerminal,GamestonkTerminal,8900,https://github.com/GamestonkTerminal/GamestonkTerminal
lbryio,lbry-sdk,7100,https://github.com/lbryio/lbry-sdk
dvf,blockchain,6600,https://github.com/dvf/blockchain
monero-project,monero,6600,https://github.com/monero-project/monero
xmrig,xmrig,6600,https://github.com/xmrig/xmrig
lightningnetwork,lnd,5700,https://github.com/lightningnetwork/lnd
mimblewimble,grin,4900,https://github.com/mimblewimble/grin
StockSharp,StockSharp,4700,https://github.com/StockSharp/StockSharp
tendermint,tendermint,4600,https://github.com/tendermint/tendermint
sammchardy,python-binance,4300,https://github.com/sammchardy/python-binance
litecoin-project,litecoin,4000,https://github.com/litecoin-project/litecoin
input-output-hk,cardano-sl,3700,https://github.com/input-output-hk/cardano-sl
michaelgrosner,tribeca,3700,https://github.com/michaelgrosner/tribeca
chrisleekr,binance-trading-bot,3600,https://github.com/chrisleekr/binance-trading-bot
coinpride,CryptoList,3600,https://github.com/coinpride/CryptoList
Scanate,EthList,3600,https://github.com/Scanate/EthList
hummingbot,hummingbot,3600,https://github.com/hummingbot/hummingbot
RomelTorres,alpha_vantage,3600,https://github.com/RomelTorres/alpha_vantage
jesse-ai,jesse,3500,https://github.com/jesse-ai/jesse
itheima1,BlockChain,3500,https://github.com/itheima1/BlockChain
Zheaoli,awesome-coins,3500,https://github.com/Zheaoli/awesome-coins
nanocurrency,nano-node,3400,https://github.com/nanocurrency/nano-node
status-im,status-react,3300,https://github.com/status-im/status-react
cosmos,cosmos-sdk,3300,https://github.com/cosmos/cosmos-sdk
Jeiwan,blockchain_go,3200,https://github.com/Jeiwan/blockchain_go
cointop-sh,cointop,3000,https://github.com/cointop-sh/cointop
lbryio,lbrycrd,2700,https://github.com/lbryio/lbrycrd
